87, 41
87, 49
87, 14
49, 41
49, 87
49, 14
49, 27
27, 49
27, 14
27, 28
27, 79
27, 25
25, 27
79, 27
79, 28
41, 49
41, 87
28, 79
28, 27
28, 14
28, 75
14, 87
14, 49
14, 27
14, 28
14, 75
14, 38
14, 24
75, 03
75, 38
75, 14
75, 28
03, 75
03, 17
03, 38
38, 03
38, 17
38, 24
38, 14
38, 75
17, 04
17, 19
17, 24
17, 38
17, 03
04, 22
04, 42
04, 19
04, 17
19, 17
19, 04
19, 42
19, 24
42, 19
42, 04
42, 22
42, 54
42, 70
42, 24
24, 14
24, 38
24, 17
24, 19
24, 42
24, 70
24, 86
24, 89
22, 04
22, 42
22, 54
54, 22
54, 42
54, 70
54, 55
70, 54
70, 42
70, 24
70, 86
70, 72
70, 55
55, 54
55, 70
55, 72
72, 55
72, 70
72, 86
72, 66
72, 45
86, 72
86, 70
86, 24
86, 89
86, 11
86, 66
89, 24
89, 86
89, 11
89, 83
83, 89
83, 11
83, 29
11, 83
11, 89
11, 86
11, 66
11, 81
11, 43
11, 29
51, 10
45, 72
45, 66
45, 74
74, 45
74, 66
74, 02
74, 56
66, 86
66, 11
66, 81
66, 02
66, 74
66, 45
66, 72
81, 66
81, 02
81, 18
81, 43
81, 11
29, 10
29, 35
29, 43
29, 11
29, 83
10, 51
10, 78
10, 47
10, 35
10, 29
78, 10
78, 47
78, 53
78, 60
47, 10
47, 35
47, 53
47, 78
35, 47
35, 10
35, 29
35, 43
35, 44
35, 76
35, 69
35, 53
43, 11
43, 81
43, 18
43, 16
43, 12
43, 52
43, 44
43, 35
43, 29
02, 74
02, 56
02, 16
02, 18
02, 81
02, 66
60, 78
60, 53
60, 69
60, 67
53, 78
53, 47
53, 35
53, 69
53, 60
69, 60
69, 53
69, 35
69, 76
69, 77
69, 67
67, 60
67, 69
67, 77
67, 40
67, 32
32, 67
32, 40
32, 57
32, 46
40, 67
40, 77
40, 50
40, 71
40, 57
40, 32
44, 35
44, 43
44, 52
44, 37
44, 76
76, 69
76, 35
76, 44
76, 37
76, 33
76, 77
46, 32
46, 57
46, 48
46, 36
46, 31
31, 46
31, 36
57, 32
57, 40
57, 71
57, 48
57, 46
71, 40
71, 50
71, 62
71, 48
71, 57
48, 57
48, 71
48, 62
48, 68
48, 36
48, 46
77, 69
77, 76
77, 33
77, 50
77, 40
77, 67
50, 77
50, 33
50, 62
50, 71
50, 40
37, 76
37, 44
37, 52
37, 33
33, 77
33, 50
33, 62
33, 52
33, 37
33, 76
62, 50
62, 33
62, 52
62, 13
62, 68
62, 48
62, 71
36, 31
36, 46
36, 48
36, 68
36, 64
36, 34
36, 61
52, 37
52, 44
52, 43
52, 12
52, 21
52, 13
52, 62
52, 33
12, 52
12, 43
12, 16
12, 21
21, 52
21, 12
21, 16
21, 73
21, 13
13, 62
13, 52
13, 21
13, 73
13, 58
18, 43
18, 81
18, 02
18, 16
16, 12
16, 43
16, 18
16, 02
16, 56
16, 63
16, 73
16, 21
56, 74
56, 02
56, 16
56, 63
56, 64
63, 64
63, 73
63, 16
63, 56
73, 13
73, 21
73, 16
73, 63
73, 64
73, 58
58, 68
58, 13
58, 73
58, 64
64, 34
64, 36
64, 68
64, 58
64, 73
64, 63
68, 36
68, 48
68, 62
68, 58
68, 64
34, 61
34, 36
34, 64
34, 30
34, 08
61, 36
61, 34
61, 08
61, 26
61, 23
08, 61
08, 34
08, 30
08, 05
08, 26
30, 08
30, 34
23, 61
23, 26
23, 01
23, 09
01, 23
09, 23
09, 26
09, 07
07, 09
07, 26
07, 06
06, 15
06, 20
06, 26
06, 07
15, 06
15, 20
20, 26
20, 05
20, 06
05, 20
05, 26
05, 08
26, 23
26, 61
26, 08
26, 05
26, 20
26, 07
